timestamp,stage,question_index,start_time,end_time,duration_seconds,cpu_before,memory_used_mb,has_error,error_types,severity,rounds,alignments,answer
2026-08-07_17-22-46,0.5B协同_中文干扰,1,2026-08-07 17:22:16,2026-08-07 17:22:46,30.9906,0.0,2471.66,False,,none,1,[0.941],4
2026-08-07_17-23-25,0.5B协同_中文干扰,2,2026-08-07 17:22:47,2026-08-07 17:23:25,38.5129,465.4,2474.72,False,,none,1,[0.973],4
2026-08-07_17-24-11,0.5B协同_中文干扰,3,2026-08-07 17:23:25,2026-08-07 17:24:11,46.095,466.6,2475.2,False,,none,1,[0.953],4
2026-08-07_17-24-41,0.5B协同_中文干扰,4,2026-08-07 17:24:11,2026-08-07 17:24:41,29.7808,619.1,2472.57,False,,none,1,[0.891],4
2026-08-07_17-25-31,0.5B协同_中文干扰,5,2026-08-07 17:24:41,2026-08-07 17:25:31,49.8732,466.7,2476.04,True,静默跳跃-无害型,low,1,[0.996],4
2026-08-07_17-26-39,0.5B协同_中文干扰,6,2026-08-07 17:25:31,2026-08-07 17:26:39,67.8019,467.6,2486.02,False,,none,1,[0.977],4
2026-08-07_17-27-03,0.5B协同_中文干扰,7,2026-08-07 17:26:39,2026-08-07 17:27:03,23.6873,623.7,2472.48,True,静默跳跃-无害型,low,1,[0.98],4
2026-08-07_17-27-41,0.5B协同_中文干扰,8,2026-08-07 17:27:03,2026-08-07 17:27:41,37.9959,463.5,2476.5,False,,none,1,[0.93],4
2026-08-07_17-28-17,0.5B协同_中文干扰,9,2026-08-07 17:27:41,2026-08-07 17:28:17,35.8572,466.3,2473.4,False,,none,1,[0.965],4
2026-08-07_17-28-45,0.5B协同_中文干扰,10,2026-08-07 17:28:17,2026-08-07 17:28:45,28.5127,466.1,2473.58,True,静默跳跃-无害型,low,1,[0.957],4
2026-08-07_17-29-24,0.5B协同_中文干扰,11,2026-08-07 17:28:45,2026-08-07 17:29:24,38.8033,464.5,2473.7,False,,none,1,[0.953],4
2026-08-07_17-29-59,0.5B协同_中文干扰,12,2026-08-07 17:29:24,2026-08-07 17:29:59,35.0777,468.2,2473.51,False,,none,1,[0.965],4
2026-08-07_17-30-30,0.5B协同_中文干扰,13,2026-08-07 17:29:59,2026-08-07 17:30:30,31.1208,466.2,2466.83,False,,none,1,[0.965],4
2026-08-07_17-31-02,0.5B协同_中文干扰,14,2026-08-07 17:30:30,2026-08-07 17:31:02,31.9015,466.9,2467.0,True,静默跳跃-无害型,low,1,[0.941],4
2026-08-07_17-31-43,0.5B协同_中文干扰,15,2026-08-07 17:31:02,2026-08-07 17:31:43,40.3775,467.6,2470.7,False,,none,1,[0.891],4
2026-08-07_17-32-12,0.5B协同_中文干扰,16,2026-08-07 17:31:43,2026-08-07 17:32:12,29.5899,465.5,2466.95,True,静默跳跃-无害型,low,1,[0.918],4
2026-08-07_17-33-04,0.5B协同_中文干扰,17,2026-08-07 17:32:12,2026-08-07 17:33:04,52.123,466.7,2470.48,False,,none,1,[0.91],4
2026-08-07_17-33-41,0.5B协同_中文干扰,18,2026-08-07 17:33:04,2026-08-07 17:33:41,36.9392,463.7,2467.54,False,,none,1,[0.984],4
2026-08-07_17-34-04,0.5B协同_中文干扰,19,2026-08-07 17:33:41,2026-08-07 17:34:04,22.6168,624.0,2466.72,False,,none,1,[0.934],4
2026-08-07_17-34-39,0.5B协同_中文干扰,20,2026-08-07 17:34:04,2026-08-07 17:34:39,34.4565,464.6,2467.64,True,静默跳跃-无害型,low,1,[0.973],4
