timestamp,stage,question_index,start_time,end_time,duration_seconds,cpu_before,memory_used_mb,has_error,error_types,severity,answer
2026-08-07_16-36-53,1.5B_中文干净,1,2026-08-07 16:36:27,2026-08-07 16:36:53,26.1322,0.0,3453.74,False,,none,4
2026-08-07_16-37-27,1.5B_中文干净,2,2026-08-07 16:36:53,2026-08-07 16:37:27,33.6268,466.5,3453.37,False,,none,4
2026-08-07_16-37-59,1.5B_中文干净,3,2026-08-07 16:37:27,2026-08-07 16:37:59,31.6296,463.9,3453.51,False,,none,4
2026-08-07_16-38-40,1.5B_中文干净,4,2026-08-07 16:37:59,2026-08-07 16:38:40,41.2866,467.3,3457.03,False,,none,4
2026-08-07_16-39-12,1.5B_中文干净,5,2026-08-07 16:38:40,2026-08-07 16:39:12,32.465,621.3,3452.86,False,,none,4
2026-08-07_16-39-44,1.5B_中文干净,6,2026-08-07 16:39:12,2026-08-07 16:39:44,31.8789,619.4,3453.18,False,,none,4
2026-08-07_16-40-08,1.5B_中文干净,7,2026-08-07 16:39:44,2026-08-07 16:40:08,24.0493,466.6,3452.36,False,,none,4
2026-08-07_16-40-45,1.5B_中文干净,8,2026-08-07 16:40:09,2026-08-07 16:40:45,36.0734,621.8,3453.12,False,,none,4
2026-08-07_16-41-16,1.5B_中文干净,9,2026-08-07 16:40:45,2026-08-07 16:41:16,31.8279,624.3,3446.62,False,,none,4
2026-08-07_16-41-50,1.5B_中文干净,10,2026-08-07 16:41:17,2026-08-07 16:41:50,33.5865,467.5,3447.7,False,,none,4
2026-08-07_16-42-18,1.5B_中文干净,11,2026-08-07 16:41:50,2026-08-07 16:42:18,27.9791,494.7,3446.71,False,,none,4
2026-08-07_16-42-56,1.5B_中文干净,12,2026-08-07 16:42:18,2026-08-07 16:42:56,37.6489,466.3,3451.26,False,,none,4
2026-08-07_16-43-23,1.5B_中文干净,13,2026-08-07 16:42:56,2026-08-07 16:43:23,26.9549,621.9,3447.48,False,,none,4
2026-08-07_16-44-09,1.5B_中文干净,14,2026-08-07 16:43:23,2026-08-07 16:44:09,46.3703,466.7,3450.79,False,,none,4
2026-08-07_16-44-47,1.5B_中文干净,15,2026-08-07 16:44:09,2026-08-07 16:44:47,37.1738,464.8,3450.66,False,,none,4
2026-08-07_16-45-29,1.5B_中文干净,16,2026-08-07 16:44:47,2026-08-07 16:45:29,42.8891,496.8,3451.42,False,,none,4
2026-08-07_16-46-53,1.5B_中文干净,17,2026-08-07 16:45:29,2026-08-07 16:46:53,83.8193,621.7,3459.65,False,,none,4
2026-08-07_16-47-27,1.5B_中文干净,18,2026-08-07 16:46:53,2026-08-07 16:47:27,33.913,466.8,3446.92,False,,none,4
2026-08-07_16-48-03,1.5B_中文干净,19,2026-08-07 16:47:27,2026-08-07 16:48:03,35.8192,464.0,3447.16,False,,none,4
2026-08-07_16-48-55,1.5B_中文干净,20,2026-08-07 16:48:03,2026-08-07 16:48:55,51.5433,464.9,3450.62,False,,none,4
