timestamp,stage,question_index,start_time,end_time,duration_seconds,cpu_before,memory_used_mb,has_error,error_types,severity,rounds,alignments,answer
2026-08-07_17-40-22,1.5B协同_中文干净,1,2026-08-07 17:39:26,2026-08-07 17:40:22,55.6688,0.0,4479.25,False,,none,1,[0.965],4
2026-08-07_17-41-29,1.5B协同_中文干净,2,2026-08-07 17:40:22,2026-08-07 17:41:29,66.9188,467.7,4487.62,False,,none,1,[0.961],4
2026-08-07_17-42-43,1.5B协同_中文干净,3,2026-08-07 17:41:29,2026-08-07 17:42:43,74.0014,466.3,4488.71,False,,none,1,[0.949],4
2026-08-07_17-43-47,1.5B协同_中文干净,4,2026-08-07 17:42:43,2026-08-07 17:43:47,63.557,468.1,4484.17,False,,none,1,[0.965],4
2026-08-07_17-44-49,1.5B协同_中文干净,5,2026-08-07 17:43:47,2026-08-07 17:44:49,62.6103,467.2,4487.57,False,,none,1,[0.965],4
2026-08-07_17-46-04,1.5B协同_中文干净,6,2026-08-07 17:44:49,2026-08-07 17:46:04,74.5696,463.9,4481.05,False,,none,1,[0.941],4
2026-08-07_17-46-58,1.5B协同_中文干净,7,2026-08-07 17:46:04,2026-08-07 17:46:58,54.4729,590.9,4474.29,False,,none,1,[0.953],4
2026-08-07_17-47-56,1.5B协同_中文干净,8,2026-08-07 17:46:59,2026-08-07 17:47:56,57.9036,465.9,4473.93,False,,none,1,[0.945],4
2026-08-07_17-48-47,1.5B协同_中文干净,9,2026-08-07 17:47:56,2026-08-07 17:48:47,50.7439,468.0,4474.6,False,,none,1,[0.977],4
2026-08-07_17-50-03,1.5B协同_中文干净,10,2026-08-07 17:48:47,2026-08-07 17:50:03,75.6252,466.7,4482.92,False,,none,1,[0.875],4
2026-08-07_17-51-06,1.5B协同_中文干净,11,2026-08-07 17:50:03,2026-08-07 17:51:06,62.7948,557.8,4481.85,False,,none,1,[0.988],4
2026-08-07_17-52-10,1.5B协同_中文干净,12,2026-08-07 17:51:06,2026-08-07 17:52:10,64.2693,465.6,4478.68,False,,none,1,[0.953],4
2026-08-07_17-53-52,1.5B协同_中文干净,13,2026-08-07 17:52:10,2026-08-07 17:53:52,101.7013,465.4,4474.43,False,,none,1,[0.216],4
2026-08-07_17-54-51,1.5B协同_中文干净,14,2026-08-07 17:53:52,2026-08-07 17:54:51,59.127,499.2,4474.73,False,,none,1,[0.957],4
2026-08-07_17-55-47,1.5B协同_中文干净,15,2026-08-07 17:54:51,2026-08-07 17:55:47,55.8967,467.1,4474.23,False,,none,1,[0.953],4
2026-08-07_17-56-37,1.5B协同_中文干净,16,2026-08-07 17:55:47,2026-08-07 17:56:37,50.1856,618.6,4474.13,False,,none,1,[0.973],4
2026-08-07_17-57-50,1.5B协同_中文干净,17,2026-08-07 17:56:37,2026-08-07 17:57:50,72.7571,464.8,4487.84,False,,none,1,[0.949],4
2026-08-07_17-58-50,1.5B协同_中文干净,18,2026-08-07 17:57:50,2026-08-07 17:58:50,59.663,619.2,4479.56,False,,none,1,[0.934],4
2026-08-07_18-00-03,1.5B协同_中文干净,19,2026-08-07 17:58:50,2026-08-07 18:00:03,73.0144,465.2,4487.77,False,,none,1,[0.953],4
2026-08-07_18-00-55,1.5B协同_中文干净,20,2026-08-07 18:00:03,2026-08-07 18:00:55,51.8511,619.3,4479.36,False,,none,1,[0.961],4
