timestamp,stage,question_index,start_time,end_time,duration_seconds,cpu_before,memory_used_mb,has_error,error_types,severity,answer
2026-08-07_16-29-06,0.5B_中文干扰,1,2026-08-07 16:28:55,2026-08-07 16:29:06,11.0048,0.0,1443.11,True,静默跳跃-无害型,low,4
2026-08-07_16-29-17,0.5B_中文干扰,2,2026-08-07 16:29:06,2026-08-07 16:29:17,11.3416,466.5,1445.21,True,静默跳跃-无害型,low,4
2026-08-07_16-29-26,0.5B_中文干扰,3,2026-08-07 16:29:17,2026-08-07 16:29:26,8.8449,621.7,1444.86,True,静默跳跃-无害型,low,4
2026-08-07_16-29-38,0.5B_中文干扰,4,2026-08-07 16:29:26,2026-08-07 16:29:38,11.8542,436.1,1444.68,False,,none,4
2026-08-07_16-29-46,0.5B_中文干扰,5,2026-08-07 16:29:38,2026-08-07 16:29:46,7.9475,464.8,1442.82,True,静默跳跃-无害型,low,4
2026-08-07_16-29-59,0.5B_中文干扰,6,2026-08-07 16:29:46,2026-08-07 16:29:59,12.7523,466.8,1445.68,False,,none,4
2026-08-07_16-30-07,0.5B_中文干扰,7,2026-08-07 16:29:59,2026-08-07 16:30:07,8.4623,466.8,1443.95,False,,none,4
2026-08-07_16-30-19,0.5B_中文干扰,8,2026-08-07 16:30:07,2026-08-07 16:30:19,11.191,464.2,1442.84,True,静默跳跃-无害型,low,4
2026-08-07_16-30-31,0.5B_中文干扰,9,2026-08-07 16:30:19,2026-08-07 16:30:31,12.7344,654.7,1443.41,False,,none,4
2026-08-07_16-30-39,0.5B_中文干扰,10,2026-08-07 16:30:32,2026-08-07 16:30:39,7.6772,465.9,1445.72,False,,none,4
2026-08-07_16-30-47,0.5B_中文干扰,11,2026-08-07 16:30:39,2026-08-07 16:30:47,8.0378,623.0,1444.85,True,静默跳跃-无害型,low,4
2026-08-07_16-31-01,0.5B_中文干扰,12,2026-08-07 16:30:47,2026-08-07 16:31:01,13.4898,465.1,1443.83,False,,none,4
2026-08-07_16-31-12,0.5B_中文干扰,13,2026-08-07 16:31:01,2026-08-07 16:31:12,11.3901,464.8,1444.17,False,,none,4
2026-08-07_16-31-21,0.5B_中文干扰,14,2026-08-07 16:31:12,2026-08-07 16:31:21,8.6956,467.0,1442.21,False,,none,4
2026-08-07_16-31-32,0.5B_中文干扰,15,2026-08-07 16:31:21,2026-08-07 16:31:32,10.9821,464.0,1442.49,True,静默跳跃-无害型,low,4
2026-08-07_16-31-44,0.5B_中文干扰,16,2026-08-07 16:31:32,2026-08-07 16:31:44,11.8501,466.6,1444.07,True,静默跳跃-无害型,low,4
2026-08-07_16-31-56,0.5B_中文干扰,17,2026-08-07 16:31:44,2026-08-07 16:31:56,12.2916,464.1,1445.05,False,,none,4
2026-08-07_16-32-10,0.5B_中文干扰,18,2026-08-07 16:31:56,2026-08-07 16:32:10,13.2275,466.1,1445.24,False,,none,4
2026-08-07_16-32-20,0.5B_中文干扰,19,2026-08-07 16:32:10,2026-08-07 16:32:20,10.6041,466.2,1443.04,False,,none,4
2026-08-07_16-32-36,0.5B_中文干扰,20,2026-08-07 16:32:20,2026-08-07 16:32:36,15.9869,467.5,1449.25,False,,none,4
